CONCURSO,FECHA,R1,R2,R3,R4,R5,
1,05/01/1999 00:00,4,7,11,21,24,
2,08/01/1999 00:00,5,12,18,22,23,
3,12/01/1999 00:00,1,12,16,18,21,
4,19/01/1999 00:00,6,10,16,20,25,
5,19/01/1999 00:00,12,14,17,21,24,
6,22/01/1999 00:00,1,9,10,16,17,
7,26/01/1999 00:00,2,8,11,15,22,
8,29/01/1999 00:00,4,8,9,20,22,
9,02/02/1999 00:00,4,17,18,21,22,
10,05/02/1999 00:00,1,3,8,11,17,
11,09/02/1999 00:00,1,13,15,18,24,
12,12/02/1999 00:00,5,9,15,16,19,
13,16/02/1999 00:00,4,7,9,11,14,
14,19/02/1999 00:00,4,10,11,19,21,
15,23/02/1999 00:00,5,12,13,16,21,
16,26/02/1999 00:00,6,9,20,22,23,
17,02/03/1999 00:00,5,10,13,19,24,
18,05/03/1999 00:00,2,9,10,11,22,
19,09/03/1999 00:00,2,9,17,21,22,
20,12/03/1999 00:00,12,13,19,20,24,
21,16/03/1999 00:00,8,9,12,16,21,
22,19/03/1999 00:00,6,10,12,16,18,
23,23/03/1999 00:00,2,7,11,20,23,
24,30/03/1999 00:00,10,11,17,20,21,
25,30/03/1999 00:00,7,10,14,16,24,
26,02/04/1999 00:00,3,7,10,13,15,
27,06/04/1999 00:00,2,6,10,13,17,
28,09/04/1999 00:00,5,11,16,20,23,
29,13/04/1999 00:00,1,3,12,15,24,
30,16/04/1999 00:00,7,10,14,17,25,
31,23/04/1999 00:00,3,14,17,20,24,
32,23/04/1999 00:00,13,19,21,22,23,
33,27/04/1999 00:00,1,5,7,13,25,
34,30/04/1999 00:00,2,4,6,9,23,
35,04/05/1999 00:00,3,6,14,16,22,
36,07/05/1999 00:00,1,2,5,6,20,
37,14/05/1999 00:00,2,9,13,22,23,
38,14/05/1999 00:00,4,6,9,13,23,
39,18/05/1999 00:00,10,15,19,20,23,
40,21/05/1999 00:00,6,11,12,17,19,
41,25/05/1999 00:00,6,11,14,23,24,
42,28/05/1999 00:00,12,16,17,18,19,
43,01/06/1999 00:00,8,10,14,19,24,
44,04/06/1999 00:00,3,13,15,17,25,
45,08/06/1999 00:00,5,16,17,19,22,
46,11/06/1999 00:00,8,9,10,16,17,
47,15/06/1999 00:00,5,7,8,9,10,
