,R1,R2,R3,R4,R5
V1,1,2,3,4,5
V2,1,2,3,4,6
V3,1,2,3,4,7
V4,1,2,3,4,8
V5,1,2,3,4,9
V6,1,2,3,4,10
V7,1,2,3,4,11
V8,1,2,3,4,12
V9,1,2,3,4,13
V10,1,2,3,4,14
V11,1,2,3,4,15
V12,1,2,3,4,16
V13,1,2,3,4,17
V14,1,2,3,4,18
V15,1,2,3,4,19
V16,1,2,3,4,20
V17,1,2,3,4,21
V18,1,2,3,4,22
V19,1,2,3,4,23
V20,1,2,3,4,24
V21,1,2,3,4,25
V22,1,2,3,4,26
V23,1,2,3,4,27
V24,1,2,3,4,28
V25,1,2,3,5,6
V26,1,2,3,5,7
V27,1,2,3,5,8
V28,1,2,3,5,9
V29,1,2,3,5,10
V30,1,2,3,5,11
V31,1,2,3,5,12
V32,1,2,3,5,13
V33,1,2,3,5,14
V34,1,2,3,5,15
V35,1,2,3,5,16
V36,1,2,3,5,17
V37,1,2,3,5,18
V38,1,2,3,5,19
V39,1,2,3,5,20
V40,1,2,3,5,21
V41,1,2,3,5,22
V42,1,2,3,5,23
V43,1,2,3,5,24
V44,1,2,3,5,25
V45,1,2,3,5,26
V46,1,2,3,5,27
V47,1,2,3,5,28
V48,1,2,3,6,7
V49,1,2,3,6,8
V50,1,2,3,6,9
V51,1,2,3,6,10
V52,1,2,3,6,11
V53,1,2,3,6,12
V54,1,2,3,6,13
V55,1,2,3,6,14
V56,1,2,3,6,15
V57,1,2,3,6,16
V58,1,2,3,6,17
V59,1,2,3,6,18
V60,1,2,3,6,19
V61,1,2,3,6,20
V62,1,2,3,6,21
V63,1,2,3,6,22
V64,1,2,3,6,23
V65,1,2,3,6,24
V66,1,2,3,6,25
V67,1,2,3,6,26
V68,1,2,3,6,27
V69,1,2,3,6,28
V70,1,2,3,7,8
V71,1,2,3,7,9
V72,1,2,3,7,10
V73,1,2,3,7,11
V74,1,2,3,7,12
V75,1,2,3,7,13
V76,1,2,3,7,14
V77,1,2,3,7,15
V78,1,2,3,7,16
V79,1,2,3,7,17
V80,1,2,3,7,18
V81,1,2,3,7,19
V82,1,2,3,7,20
V83,1,2,3,7,21
V84,1,2,3,7,22
V85,1,2,3,7,23
V86,1,2,3,7,24
V87,1,2,3,7,25
V88,1,2,3,7,26
V89,1,2,3,7,27
V90,1,2,3,7,28
V91,1,2,3,8,9
V92,1,2,3,8,10
V93,1,2,3,8,11
V94,1,2,3,8,12
V95,1,2,3,8,13
V96,1,2,3,8,14
V97,1,2,3,8,15
V98,1,2,3,8,16
V99,1,2,3,8,17
V100,1,2,3,8,18
V101,1,2,3,8,19
V102,1,2,3,8,20
V103,1,2,3,8,21
V104,1,2,3,8,22
V105,1,2,3,8,23
V106,1,2,3,8,24
V107,1,2,3,8,25
V108,1,2,3,8,26
V109,1,2,3,8,27
V110,1,2,3,8,28
V111,1,2,3,9,10
V112,1,2,3,9,11
V113,1,2,3,9,12
V114,1,2,3,9,13
V115,1,2,3,9,14
V116,1,2,3,9,15
V117,1,2,3,9,16
V118,1,2,3,9,17
V119,1,2,3,9,18
V120,1,2,3,9,19
V121,1,2,3,9,20
V122,1,2,3,9,21
V123,1,2,3,9,22
V124,1,2,3,9,23
V125,1,2,3,9,24
V126,1,2,3,9,25
V127,1,2,3,9,26
V128,1,2,3,9,27
V129,1,2,3,9,28
V130,1,2,3,10,11
V131,1,2,3,10,12
V132,1,2,3,10,13
V133,1,2,3,10,14
V134,1,2,3,10,15
V135,1,2,3,10,16
V136,1,2,3,10,17
V137,1,2,3,10,18
V138,1,2,3,10,19
V139,1,2,3,10,20
V140,1,2,3,10,21
V141,1,2,3,10,22
V142,1,2,3,10,23
V143,1,2,3,10,24
V144,1,2,3,10,25
V145,1,2,3,10,26
V146,1,2,3,10,27
V147,1,2,3,10,28
V148,1,2,3,11,12
V149,1,2,3,11,13
V150,1,2,3,11,14
V151,1,2,3,11,15
V152,1,2,3,11,16
V153,1,2,3,11,17
V154,1,2,3,11,18
V155,1,2,3,11,19
V156,1,2,3,11,20
V157,1,2,3,11,21
V158,1,2,3,11,22
V159,1,2,3,11,23
V160,1,2,3,11,24
V161,1,2,3,11,25
V162,1,2,3,11,26
V163,1,2,3,11,27
V164,1,2,3,11,28
V165,1,2,3,12,13
V166,1,2,3,12,14
V167,1,2,3,12,15
V168,1,2,3,12,16
V169,1,2,3,12,17
V170,1,2,3,12,18
V171,1,2,3,12,19
V172,1,2,3,12,20
V173,1,2,3,12,21
V174,1,2,3,12,22
V175,1,2,3,12,23
V176,1,2,3,12,24
V177,1,2,3,12,25
V178,1,2,3,12,26
V179,1,2,3,12,27
V180,1,2,3,12,28
V181,1,2,3,13,14
V182,1,2,3,13,15
V183,1,2,3,13,16
V184,1,2,3,13,17
V185,1,2,3,13,18
V186,1,2,3,13,19
V187,1,2,3,13,20
V188,1,2,3,13,21
V189,1,2,3,13,22
V190,1,2,3,13,23
V191,1,2,3,13,24
V192,1,2,3,13,25
V193,1,2,3,13,26
V194,1,2,3,13,27
V195,1,2,3,13,28
V196,1,2,3,14,15
V197,1,2,3,14,16
V198,1,2,3,14,17
V199,1,2,3,14,18
V200,1,2,3,14,19
V201,1,2,3,14,20
V202,1,2,3,14,21
V203,1,2,3,14,22
V204,1,2,3,14,23
V205,1,2,3,14,24
V206,1,2,3,14,25
V207,1,2,3,14,26
V208,1,2,3,14,27
V209,1,2,3,14,28
V210,1,2,3,15,16
V211,1,2,3,15,17
V212,1,2,3,15,18
V213,1,2,3,15,19
V214,1,2,3,15,20
V215,1,2,3,15,21
V216,1,2,3,15,22
V217,1,2,3,15,23
V218,1,2,3,15,24
V219,1,2,3,15,25
V220,1,2,3,15,26
V221,1,2,3,15,27
V222,1,2,3,15,28
V223,1,2,3,16,17
V224,1,2,3,16,18
V225,1,2,3,16,19
V226,1,2,3,16,20
V227,1,2,3,16,21
V228,1,2,3,16,22
V229,1,2,3,16,23
V230,1,2,3,16,24
V231,1,2,3,16,25
V232,1,2,3,16,26
V233,1,2,3,16,27
V234,1,2,3,16,28
V235,1,2,3,17,18
V236,1,2,3,17,19
V237,1,2,3,17,20
V238,1,2,3,17,21
V239,1,2,3,17,22
V240,1,2,3,17,23
V241,1,2,3,17,24
V242,1,2,3,17,25
V243,1,2,3,17,26
V244,1,2,3,17,27
V245,1,2,3,17,28
V246,1,2,3,18,19
V247,1,2,3,18,20
V248,1,2,3,18,21
V249,1,2,3,18,22
V250,1,2,3,18,23
V251,1,2,3,18,24
V252,1,2,3,18,25
V253,1,2,3,18,26
V254,1,2,3,18,27
V255,1,2,3,18,28
V256,1,2,3,19,20
V257,1,2,3,19,21
V258,1,2,3,19,22
V259,1,2,3,19,23
V260,1,2,3,19,24
V261,1,2,3,19,25
V262,1,2,3,19,26
V263,1,2,3,19,27
V264,1,2,3,19,28
V265,1,2,3,20,21
V266,1,2,3,20,22
V267,1,2,3,20,23
V268,1,2,3,20,24
V269,1,2,3,20,25
V270,1,2,3,20,26
V271,1,2,3,20,27
V272,1,2,3,20,28
V273,1,2,3,21,22
V274,1,2,3,21,23
V275,1,2,3,21,24
V276,1,2,3,21,25
V277,1,2,3,21,26
V278,1,2,3,21,27
V279,1,2,3,21,28
V280,1,2,3,22,23
V281,1,2,3,22,24
V282,1,2,3,22,25
V283,1,2,3,22,26
V284,1,2,3,22,27
V285,1,2,3,22,28
V286,1,2,3,23,24
V287,1,2,3,23,25
V288,1,2,3,23,26
V289,1,2,3,23,27
V290,1,2,3,23,28
V291,1,2,3,24,25
V292,1,2,3,24,26
V293,1,2,3,24,27
V294,1,2,3,24,28
V295,1,2,3,25,26
V296,1,2,3,25,27
V297,1,2,3,25,28
V298,1,2,3,26,27
V299,1,2,3,26,28
V300,1,2,3,27,28
V301,1,2,4,5,6
V302,1,2,4,5,7
V303,1,2,4,5,8
V304,1,2,4,5,9
V305,1,2,4,5,10
V306,1,2,4,5,11
V307,1,2,4,5,12
V308,1,2,4,5,13
V309,1,2,4,5,14
V310,1,2,4,5,15
V311,1,2,4,5,16
V312,1,2,4,5,17
V313,1,2,4,5,18
V314,1,2,4,5,19
V315,1,2,4,5,20
V316,1,2,4,5,21
V317,1,2,4,5,22
V318,1,2,4,5,23
V319,1,2,4,5,24
V320,1,2,4,5,25
V321,1,2,4,5,26
V322,1,2,4,5,27
V323,1,2,4,5,28
V324,1,2,4,6,7
V325,1,2,4,6,8
V326,1,2,4,6,9
V327,1,2,4,6,10
V328,1,2,4,6,11
V329,1,2,4,6,12
V330,1,2,4,6,13
V331,1,2,4,6,14
V332,1,2,4,6,15
V333,1,2,4,6,16
V334,1,2,4,6,17
V335,1,2,4,6,18
V336,1,2,4,6,19
V337,1,2,4,6,20
V338,1,2,4,6,21
V339,1,2,4,6,22
V340,1,2,4,6,23
V341,1,2,4,6,24
V342,1,2,4,6,25
V343,1,2,4,6,26
V344,1,2,4,6,27
V345,1,2,4,6,28
V346,1,2,4,7,8
V347,1,2,4,7,9
V348,1,2,4,7,10
V349,1,2,4,7,11
V350,1,2,4,7,12
V351,1,2,4,7,13
V352,1,2,4,7,14
V353,1,2,4,7,15
V354,1,2,4,7,16
V355,1,2,4,7,17
V356,1,2,4,7,18
V357,1,2,4,7,19
V358,1,2,4,7,20
V359,1,2,4,7,21
V360,1,2,4,7,22
V361,1,2,4,7,23
V362,1,2,4,7,24
V363,1,2,4,7,25
V364,1,2,4,7,26
V365,1,2,4,7,27
V366,1,2,4,7,28
V367,1,2,4,8,9
V368,1,2,4,8,10
V369,1,2,4,8,11
V370,1,2,4,8,12
V371,1,2,4,8,13
V372,1,2,4,8,14
V373,1,2,4,8,15
V374,1,2,4,8,16
V375,1,2,4,8,17
V376,1,2,4,8,18
V377,1,2,4,8,19
V378,1,2,4,8,20
V379,1,2,4,8,21
V380,1,2,4,8,22
V381,1,2,4,8,23
V382,1,2,4,8,24
V383,1,2,4,8,25
V384,1,2,4,8,26
V385,1,2,4,8,27
V386,1,2,4,8,28
V387,1,2,4,9,10
V388,1,2,4,9,11
V389,1,2,4,9,12
V390,1,2,4,9,13
V391,1,2,4,9,14
V392,1,2,4,9,15
V393,1,2,4,9,16
V394,1,2,4,9,17
V395,1,2,4,9,18
V396,1,2,4,9,19
V397,1,2,4,9,20
V398,1,2,4,9,21
V399,1,2,4,9,22
V400,1,2,4,9,23
V401,1,2,4,9,24
V402,1,2,4,9,25
V403,1,2,4,9,26
V404,1,2,4,9,27
V405,1,2,4,9,28
V406,1,2,4,10,11
V407,1,2,4,10,12
V408,1,2,4,10,13
V409,1,2,4,10,14
V410,1,2,4,10,15
V411,1,2,4,10,16
V412,1,2,4,10,17
V413,1,2,4,10,18
V414,1,2,4,10,19
V415,1,2,4,10,20
V416,1,2,4,10,21
V417,1,2,4,10,22
V418,1,2,4,10,23
V419,1,2,4,10,24
V420,1,2,4,10,25
V421,1,2,4,10,26
V422,1,2,4,10,27
V423,1,2,4,10,28
V424,1,2,4,11,12
V425,1,2,4,11,13
V426,1,2,4,11,14
V427,1,2,4,11,15
V428,1,2,4,11,16
V429,1,2,4,11,17
V430,1,2,4,11,18
V431,1,2,4,11,19
V432,1,2,4,11,20
V433,1,2,4,11,21
V434,1,2,4,11,22
V435,1,2,4,11,23
V436,1,2,4,11,24
V437,1,2,4,11,25
V438,1,2,4,11,26
V439,1,2,4,11,27
V440,1,2,4,11,28
V441,1,2,4,12,13
V442,1,2,4,12,14
V443,1,2,4,12,15
V444,1,2,4,12,16
V445,1,2,4,12,17
V446,1,2,4,12,18
V447,1,2,4,12,19
V448,1,2,4,12,20
V449,1,2,4,12,21
V450,1,2,4,12,22
V451,1,2,4,12,23
V452,1,2,4,12,24
V453,1,2,4,12,25
V454,1,2,4,12,26
V455,1,2,4,12,27
V456,1,2,4,12,28
V457,1,2,4,13,14
V458,1,2,4,13,15
V459,1,2,4,13,16
V460,1,2,4,13,17
V461,1,2,4,13,18
V462,1,2,4,13,19
V463,1,2,4,13,20
V464,1,2,4,13,21
V465,1,2,4,13,22
V466,1,2,4,13,23
V467,1,2,4,13,24
V468,1,2,4,13,25
V469,1,2,4,13,26
V470,1,2,4,13,27
V471,1,2,4,13,28
V472,1,2,4,14,15
V473,1,2,4,14,16
V474,1,2,4,14,17
V475,1,2,4,14,18
V476,1,2,4,14,19
V477,1,2,4,14,20
V478,1,2,4,14,21
V479,1,2,4,14,22
V480,1,2,4,14,23
V481,1,2,4,14,24
V482,1,2,4,14,25
V483,1,2,4,14,26
V484,1,2,4,14,27
V485,1,2,4,14,28
V486,1,2,4,15,16
V487,1,2,4,15,17
V488,1,2,4,15,18
V489,1,2,4,15,19
V490,1,2,4,15,20
V491,1,2,4,15,21
V492,1,2,4,15,22
V493,1,2,4,15,23
V494,1,2,4,15,24
V495,1,2,4,15,25
V496,1,2,4,15,26
V497,1,2,4,15,27
V498,1,2,4,15,28
V499,1,2,4,16,17
V500,1,2,4,16,18
V501,1,2,4,16,19
V502,1,2,4,16,20
V503,1,2,4,16,21
V504,1,2,4,16,22
V505,1,2,4,16,23
V506,1,2,4,16,24
V507,1,2,4,16,25
V508,1,2,4,16,26
V509,1,2,4,16,27
V510,1,2,4,16,28
V511,1,2,4,17,18
V512,1,2,4,17,19
V513,1,2,4,17,20
V514,1,2,4,17,21
V515,1,2,4,17,22
V516,1,2,4,17,23
V517,1,2,4,17,24
V518,1,2,4,17,25
V519,1,2,4,17,26
V520,1,2,4,17,27
V521,1,2,4,17,28
V522,1,2,4,18,19
V523,1,2,4,18,20
V524,1,2,4,18,21
V525,1,2,4,18,22
V526,1,2,4,18,23
V527,1,2,4,18,24
V528,1,2,4,18,25
V529,1,2,4,18,26
V530,1,2,4,18,27
V531,1,2,4,18,28
V532,1,2,4,19,20
V533,1,2,4,19,21
V534,1,2,4,19,22
V535,1,2,4,19,23
V536,1,2,4,19,24
V537,1,2,4,19,25
V538,1,2,4,19,26
V539,1,2,4,19,27
V540,1,2,4,19,28
V541,1,2,4,20,21
V542,1,2,4,20,22
V543,1,2,4,20,23
V544,1,2,4,20,24
V545,1,2,4,20,25
V546,1,2,4,20,26
V547,1,2,4,20,27
V548,1,2,4,20,28
V549,1,2,4,21,22
V550,1,2,4,21,23
V551,1,2,4,21,24
V552,1,2,4,21,25
V553,1,2,4,21,26
V554,1,2,4,21,27
V555,1,2,4,21,28
V556,1,2,4,22,23
V557,1,2,4,22,24
V558,1,2,4,22,25
V559,1,2,4,22,26
V560,1,2,4,22,27
V561,1,2,4,22,28
V562,1,2,4,23,24
V563,1,2,4,23,25
V564,1,2,4,23,26
V565,1,2,4,23,27
V566,1,2,4,23,28
V567,1,2,4,24,25
V568,1,2,4,24,26
V569,1,2,4,24,27
V570,1,2,4,24,28
V571,1,2,4,25,26
V572,1,2,4,25,27
V573,1,2,4,25,28
V574,1,2,4,26,27
V575,1,2,4,26,28
V576,1,2,4,27,28
V577,1,2,5,6,7
V578,1,2,5,6,8
V579,1,2,5,6,9
V580,1,2,5,6,10
V581,1,2,5,6,11
V582,1,2,5,6,12
V583,1,2,5,6,13
V584,1,2,5,6,14
V585,1,2,5,6,15
V586,1,2,5,6,16
V587,1,2,5,6,17
V588,1,2,5,6,18
V589,1,2,5,6,19
V590,1,2,5,6,20
V591,1,2,5,6,21
V592,1,2,5,6,22
V593,1,2,5,6,23
V594,1,2,5,6,24
V595,1,2,5,6,25
V596,1,2,5,6,26
V597,1,2,5,6,27
V598,1,2,5,6,28
V599,1,2,5,7,8
V600,1,2,5,7,9
V601,1,2,5,7,10
V602,1,2,5,7,11
V603,1,2,5,7,12
V604,1,2,5,7,13
V605,1,2,5,7,14
